Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Suriname,South America,587154.0,2785.0,4743.0,3570.0,49.0,9.0
Guinea-Bissau,Africa,1972277.0,1500.0,761.0,1030.0,14.0,5.0
Benin,Africa,12151976.0,93677.0,7709.0,159.0,3.0,1.0
Iceland,Europe,341465.0,149693.0,438385.0,5652.0,29.0,534.3934426229508
Sierra Leone,Africa,7992169.0,1402404.7015706806,83959.3664921466,235.0,8.0,534.3934426229508
Yemen,Asia,29886897.0,120.0,4.0,59.0,17.0,534.3934426229508
Tunisia,Africa,11830801.0,100298.0,8478.0,139.0,4.0,9.0
New Zealand,Australia/Oceania,5002100.0,486943.0,97348.0,314.0,4.0,534.3934426229508
Angola,Africa,32956300.0,64747.0,1965.0,45.0,2.0,20.0
Uruguay,South America,3474956.0,126956.0,36535.0,379.0,11.0,2.0
Latvia,Europe,1883936.0,207909.0,110359.0,677.0,17.0,534.3934426229508
Jordan,Asia,10213138.0,628745.0,61562.0,121.0,1.0,3.0
Liberia,Africa,5068618.0,1402404.7015706806,83959.3664921466,241.0,15.0,534.3934426229508
Uganda,Africa,45867852.0,288367.0,6287.0,27.0,0.1,534.3934426229508
Cyprus,Asia,1208238.0,216597.0,179267.0,1000.0,16.0,534.3934426229508
Georgia,Asia,3988368.0,240473.0,60294.0,302.0,4.0,534.3934426229508
Burkina Faso,Africa,20954852.0,1402404.7015706806,83959.3664921466,55.0,3.0,534.3934426229508
Niger,Africa,24281433.0,9052.0,373.0,47.0,3.0,534.3934426229508
Togo,Africa,8296582.0,45767.0,5516.0,122.0,3.0,2.0
Syria,Asia,17539600.0,1402404.7015706806,83959.3664921466,57.0,3.0,534.3934426229508
Jamaica,North America,2962478.0,41840.0,14123.0,323.0,4.0,534.3934426229508
Malta,Europe,441663.0,136713.0,309541.0,2142.0,20.0,534.3934426229508
Andorra,Europe,77278.0,3750.0,48526.0,12216.0,673.0,1.0
Chad,Africa,16467965.0,1402404.7015706806,83959.3664921466,57.0,5.0,534.3934426229508
Gambia,Africa,2422754.0,5183.0,2139.0,386.0,7.0,534.3934426229508
Sao Tome and Principe,Africa,219544.0,3079.0,14025.0,3999.0,68.0,534.3934426229508
Botswana,Africa,2356075.0,68423.0,29041.0,341.0,0.8,1.0
Bahamas,North America,393616.0,4814.0,12230.0,1933.0,36.0,1.0
Vietnam,Asia,97425470.0,482456.0,4952.0,8.0,0.1,534.3934426229508
