country,country_code,date,cumulative_vaccinations,daily_vaccinations
Belgium,BEL,2021-06-14,8931972.0,154871.0
Belgium,BEL,2021-06-15,9083992.0,152020.0
Belgium,BEL,2021-06-16,9268719.0,184727.0
Belgium,BEL,2021-06-17,9458842.0,190123.0
Belgium,BEL,2021-06-18,9652730.0,193888.0
Belgium,BEL,2021-06-19,9779349.0,126619.0
Belgium,BEL,2021-06-20,9811993.0,32644.0
Belgium,BEL,2021-06-21,9931422.0,119429.0
Belgium,BEL,2021-06-22,10040822.0,109400.0
Belgium,BEL,2021-06-23,10225922.0,185100.0
Belgium,BEL,2021-06-24,10408586.0,182664.0
Belgium,BEL,2021-06-25,10574358.0,165772.0
Belgium,BEL,2021-06-26,10690274.0,115916.0
Belgium,BEL,2021-06-27,10725454.0,35180.0
Belgium,BEL,2021-06-28,10846756.0,121302.0
Belgium,BEL,2021-06-29,10969098.0,122342.0
Belgium,BEL,2021-06-30,11095203.0,126105.0
Belgium,BEL,2021-07-01,11232934.0,137731.0
Belgium,BEL,2021-07-02,11348106.0,115172.0
Belgium,BEL,2021-07-03,11437655.0,89549.0
Belgium,BEL,2021-07-04,11452372.0,14717.0
Belgium,BEL,2021-07-05,11573616.0,121244.0
Belgium,BEL,2021-07-06,11690111.0,116495.0
Belgium,BEL,2021-07-07,11850783.0,160672.0
Belgium,BEL,2021-07-08,12017130.0,166347.0
Belgium,BEL,2021-07-09,12165983.0,148853.0
Belgium,BEL,2021-07-10,12296144.0,130161.0
Belgium,BEL,2021-07-11,12327593.0,31449.0
Belgium,BEL,2021-07-12,12474631.0,147038.0
Belgium,BEL,2021-07-13,12592901.0,118270.0
Belgium,BEL,2021-07-14,12741302.0,148401.0
Belgium,BEL,2021-07-15,12877769.0,136467.0
Belgium,BEL,2021-07-16,13016569.0,138800.0
Belgium,BEL,2021-07-17,13119265.0,102696.0
Belgium,BEL,2021-07-18,13134414.0,15149.0
Belgium,BEL,2021-07-19,13264073.0,129659.0
Belgium,BEL,2021-07-20,13386827.0,122754.0
Belgium,BEL,2021-07-21,13488026.0,101199.0
Belgium,BEL,2021-07-22,13673830.0,185804.0
Belgium,BEL,2021-07-23,13837883.0,164053.0
Belgium,BEL,2021-07-24,13936126.0,98243.0
Belgium,BEL,2021-07-25,13950400.0,14274.0
Belgium,BEL,2021-07-26,14069358.0,118958.0
Belgium,BEL,2021-07-27,14180935.0,111577.0
Belgium,BEL,2021-07-28,14339890.0,158955.0
Belgium,BEL,2021-07-29,14488441.0,148551.0
Belgium,BEL,2021-07-30,14631729.0,143288.0
Belgium,BEL,2021-07-31,14718176.0,86447.0
Belgium,BEL,2021-08-01,14730654.0,12478.0
Belgium,BEL,2021-08-02,14837727.0,107073.0
Belgium,BEL,2021-08-03,14931709.0,93982.0
Belgium,BEL,2021-08-04,15049824.0,118115.0
Belgium,BEL,2021-08-05,15166021.0,116197.0
Belgium,BEL,2021-08-06,15278619.0,112598.0
Belgium,BEL,2021-08-07,15338298.0,59679.0
Belgium,BEL,2021-08-08,15345162.0,6864.0
Belgium,BEL,2021-08-09,15416153.0,70991.0
Belgium,BEL,2021-08-10,15496775.0,80622.0
Belgium,BEL,2021-08-11,15574344.0,77569.0
Belgium,BEL,2021-08-12,15651126.0,76782.0
Belgium,BEL,2021-08-13,15712852.0,61726.0
Belgium,BEL,2021-08-14,15740658.0,27806.0
Belgium,BEL,2021-08-15,15742749.0,2091.0
Belgium,BEL,2021-08-16,15782806.0,40057.0
Belgium,BEL,2021-08-17,15829227.0,46421.0
Belgium,BEL,2021-08-18,15881479.0,52252.0
Belgium,BEL,2021-08-19,15930913.0,49434.0
Belgium,BEL,2021-08-20,15974089.0,43176.0
Belgium,BEL,2021-08-21,15998986.0,24897.0
Belgium,BEL,2021-08-22,16002163.0,3177.0
Belgium,BEL,2021-08-23,16043387.0,41224.0
Belgium,BEL,2021-08-24,16083475.0,40088.0
Belgium,BEL,2021-08-25,16127315.0,43840.0
Belgium,BEL,2021-08-26,16176535.0,49220.0
Belgium,BEL,2021-08-27,16216376.0,39841.0
Belgium,BEL,2021-08-28,16251279.0,34903.0
Belgium,BEL,2021-08-29,16252762.0,1483.0
Belgium,BEL,2021-08-30,16285398.0,32636.0
Belgium,BEL,2021-08-31,16325059.0,39661.0
Belgium,BEL,2021-09-01,16346724.0,21665.0
Belgium,BEL,2021-09-02,16364087.0,17363.0
Belgium,BEL,2021-09-03,16389259.0,25172.0
Belgium,BEL,2021-09-04,16419714.0,30455.0
